Invoice_ID,Date,Product_line,Total
505-02-0892,2019-02-25,Health and beauty,357.588
234-65-2137,2019-01-16,Home and lifestyle,1003.59
687-47-8271,2019-02-08,Fashion accessories,1039.29
796-32-9050,2019-01-19,Food and beverages,323.064
105-31-1824,2019-02-01,Sports and travel,510.972
249-42-3782,2019-01-03,Health and beauty,367.5525
316-55-4634,2019-01-26,Food and beverages,420.2625
733-33-4967,2019-03-03,Electronic accessories,175.14
608-27-6295,2019-01-19,Electronic accessories,333.207
414-12-7047,2019-01-18,Food and beverages,166.236
827-26-2100,2019-03-21,Home and lifestyle,319.788
175-54-2529,2019-03-03,Food and beverages,186.228
139-52-2867,2019-02-13,Fashion accessories,165.4485
407-63-8975,2019-03-23,Food and beverages,465.444
342-65-4817,2019-01-28,Health and beauty,273.42
130-98-8941,2019-02-09,Fashion accessories,472.311
434-83-9547,2019-01-23,Food and beverages,323.148
851-28-6367,2019-03-23,Sports and travel,162.75
824-88-3614,2019-01-25,Health and beauty,288.204
586-25-0848,2019-03-04,Sports and travel,90.699
895-66-0685,2019-03-05,Food and beverages,56.952
305-14-0245,2019-03-03,Home and lifestyle,793.716
732-04-5373,2019-02-08,Home and lifestyle,195.174
400-60-7251,2019-02-10,Home and lifestyle,77.7735
593-65-1552,2019-01-28,Home and lifestyle,293.202
284-34-9626,2019-02-11,Home and lifestyle,242.676
437-58-8131,2019-01-15,Fashion accessories,154.392
286-43-6208,2019-03-16,Food and beverages,829.71
641-43-2399,2019-01-26,Home and lifestyle,107.31
831-07-6050,2019-03-19,Electronic accessories,171.7275
556-86-3144,2019-01-13,Fashion accessories,78.0045
848-24-9445,2019-03-26,Health and beauty,91.77
856-22-8149,2019-03-23,Home and lifestyle,26.5545
699-01-4164,2019-03-12,Health and beauty,174.3
420-11-4919,2019-02-17,Food and beverages,374.7975
606-80-4905,2019-01-29,Sports and travel,120.645
542-41-0513,2019-03-15,Electronic accessories,241.458
426-39-2418,2019-01-14,Electronic accessories,451.3635
875-46-5808,2019-02-06,Health and beauty,271.95
394-43-4238,2019-02-15,Home and lifestyle,93.2925
749-24-1565,2019-01-03,Health and beauty,217.6335
672-51-8681,2019-01-04,Electronic accessories,629.8425
263-87-5680,2019-03-18,Home and lifestyle,299.565
573-58-9734,2019-03-28,Fashion accessories,95.6655
817-69-8206,2019-03-02,Electronic accessories,942.4485
888-02-0338,2019-01-25,Electronic accessories,247.8735
677-11-0152,2019-01-16,Food and beverages,881.307
142-63-6033,2019-03-20,Home and lifestyle,484.89
656-16-1063,2019-01-04,Sports and travel,146.223
891-58-8335,2019-03-11,Sports and travel,217.6335
802-43-8934,2019-03-22,Home and lifestyle,19.194
560-30-5617,2019-03-24,Sports and travel,130.0425
319-74-2561,2019-02-21,Electronic accessories,298.116
549-03-9315,2019-02-12,Fashion accessories,796.908
790-29-1172,2019-03-10,Food and beverages,180.621
239-36-3640,2019-01-31,Electronic accessories,285.705
468-01-2051,2019-03-06,Food and beverages,456.288
389-25-3394,2019-02-17,Electronic accessories,62.0025
279-62-1445,2019-02-21,Fashion accessories,13.167
213-72-6612,2019-03-20,Food and beverages,90.825
746-68-6593,2019-01-11,Sports and travel,183.036
836-82-5858,2019-01-26,Health and beauty,655.5465
583-72-1480,2019-01-31,Electronic accessories,155.652
466-61-5506,2019-02-26,Electronic accessories,571.41
721-86-6247,2019-03-11,Home and lifestyle,532.728
289-65-5721,2019-01-26,Fashion accessories,170.877
545-46-3100,2019-03-12,Electronic accessories,33.3585
418-02-5978,2019-02-11,Health and beauty,794.6505
269-04-5750,2019-02-21,Fashion accessories,310.044
157-13-5295,2019-03-09,Health and beauty,545.37
645-78-8093,2019-01-20,Sports and travel,195.594
211-30-9270,2019-01-28,Health and beauty,91.4025
755-12-3214,2019-03-05,Fashion accessories,232.155
346-84-3103,2019-03-02,Electronic accessories,69.405
478-06-7835,2019-01-11,Fashion accessories,94.1745
540-11-4336,2019-01-11,Food and beverages,235.683
448-81-5016,2019-03-11,Health and beauty,125.517
142-72-4741,2019-02-28,Fashion accessories,195.72
217-58-1179,2019-01-05,Home and lifestyle,263.13
376-02-8238,2019-02-02,Home and lifestyle,788.508
530-90-9855,2019-01-01,Home and lifestyle,399.756
866-05-7563,2019-02-09,Electronic accessories,256.41
604-70-6476,2019-01-23,Fashion accessories,94.185
799-71-1548,2019-01-07,Electronic accessories,326.424
785-13-7708,2019-01-14,Food and beverages,536.991
845-51-0542,2019-02-02,Food and beverages,439.8975
662-47-5456,2019-03-17,Fashion accessories,369.495
883-17-4236,2019-03-02,Sports and travel,30.219
290-68-2984,2019-03-16,Home and lifestyle,99.75
704-11-6354,2019-01-06,Home and lifestyle,494.76
110-48-7033,2019-01-29,Fashion accessories,137.004
366-93-0948,2019-01-31,Electronic accessories,69.6675
729-09-9681,2019-02-05,Home and lifestyle,163.233
151-16-1484,2019-02-13,Electronic accessories,135.45
380-94-4661,2019-02-07,Electronic accessories,276.948
850-41-9669,2019-03-19,Electronic accessories,709.317
821-07-3596,2019-03-07,Fashion accessories,69.09
655-85-5130,2019-03-13,Fashion accessories,160.86
447-15-7839,2019-02-09,Sports and travel,233.52
154-74-7179,2019-02-26,Sports and travel,57.1725
253-12-6086,2019-03-12,Sports and travel,723.24
808-65-0703,2019-03-14,Home and lifestyle,148.974
571-94-0759,2019-01-08,Food and beverages,783.3
144-51-6085,2019-01-05,Home and lifestyle,297.108
731-14-2199,2019-01-04,Home and lifestyle,373.17
783-09-1637,2019-03-06,Sports and travel,354.0075
687-15-1097,2019-01-03,Health and beauty,44.352
126-54-1082,2019-01-07,Home and lifestyle,203.553
633-91-1052,2019-01-27,Home and lifestyle,25.263
477-24-6490,2019-02-26,Health and beauty,628.173
566-19-5475,2019-01-07,Fashion accessories,352.5795
526-86-8552,2019-01-07,Home and lifestyle,229.11
376-56-3573,2019-02-02,Fashion accessories,400.764
537-72-0426,2019-03-20,Fashion accessories,745.395
828-61-5674,2019-03-20,Sports and travel,462.21
136-08-6195,2019-02-15,Home and lifestyle,587.664
523-38-0215,2019-03-06,Home and lifestyle,38.85
490-29-1201,2019-01-06,Sports and travel,16.107
667-92-0055,2019-03-04,Health and beauty,628.929
565-17-3836,2019-03-12,Health and beauty,200.214
498-41-1961,2019-02-20,Health and beauty,350.07
593-95-4461,2019-03-24,Home and lifestyle,78.603
226-71-3580,2019-01-31,Sports and travel,224.4375
283-79-9594,2019-01-25,Food and beverages,356.5485
430-60-3493,2019-02-03,Home and lifestyle,697.368
139-20-0155,2019-01-24,Electronic accessories,423.15
558-80-4082,2019-03-14,Electronic accessories,204.6975
278-97-7759,2019-02-18,Electronic accessories,65.604
316-68-6352,2019-01-21,Food and beverages,76.356
585-03-5943,2019-03-13,Health and beauty,190.155
211-05-0490,2019-03-03,Electronic accessories,272.58
727-75-6477,2019-03-29,Electronic accessories,121.128
744-02-5987,2019-01-10,Home and lifestyle,493.794
307-83-9164,2019-01-25,Home and lifestyle,252.042
779-06-0012,2019-01-19,Home and lifestyle,93.0405
446-47-6729,2019-01-02,Fashion accessories,209.622
573-10-3877,2019-03-12,Health and beauty,40.9605
735-06-4124,2019-02-25,Food and beverages,51.0405
439-54-7422,2019-03-18,Electronic accessories,214.998
396-90-2219,2019-02-23,Electronic accessories,125.664
411-77-0180,2019-03-26,Electronic accessories,530.67
286-01-5402,2019-03-30,Sports and travel,295.6905
803-17-8013,2019-02-17,Home and lifestyle,745.836
512-98-1403,2019-03-21,Electronic accessories,83.412
848-42-2560,2019-03-05,Fashion accessories,172.011
532-59-7201,2019-01-31,Sports and travel,503.559
181-94-6432,2019-02-05,Fashion accessories,145.593
870-76-1733,2019-02-01,Food and beverages,74.7075
423-64-4619,2019-03-07,Health and beauty,146.9475
227-07-4446,2019-02-10,Electronic accessories,820.365
174-36-3675,2019-02-14,Food and beverages,208.677
428-83-5800,2019-02-09,Food and beverages,66.402
603-07-0961,2019-01-10,Electronic accessories,392.6475
704-20-4138,2019-03-11,Health and beauty,218.0745
787-15-1757,2019-02-18,Health and beauty,185.094
649-11-3678,2019-02-26,Food and beverages,216.6885
622-20-1945,2019-01-18,Health and beauty,41.391
372-94-8041,2019-02-15,Health and beauty,96.138
563-91-7120,2019-03-08,Fashion accessories,324.2925
746-54-5508,2019-01-17,Home and lifestyle,135.576
276-54-0879,2019-03-12,Sports and travel,410.508
815-11-1168,2019-03-09,Food and beverages,523.845
719-76-3868,2019-03-12,Food and beverages,395.892
730-61-8757,2019-01-25,Health and beauty,214.746
340-66-0321,2019-03-25,Electronic accessories,152.712
868-81-1752,2019-02-07,Home and lifestyle,208.089
634-97-8956,2019-02-17,Food and beverages,103.635
566-71-1091,2019-02-03,Fashion accessories,404.355
442-48-3607,2019-03-14,Food and beverages,49.308
835-16-0096,2019-03-24,Sports and travel,77.175
527-09-6272,2019-03-21,Electronic accessories,149.3625
898-04-2717,2019-03-19,Fashion accessories,721.98
692-27-8933,2019-02-24,Sports and travel,365.085
633-09-3463,2019-03-28,Electronic accessories,150.0975
374-17-3652,2019-02-05,Food and beverages,404.649
378-07-7001,2019-02-10,Electronic accessories,151.4835
433-75-6987,2019-03-05,Health and beauty,411.3795
873-95-4984,2019-02-15,Health and beauty,565.215
416-13-5917,2019-01-30,Food and beverages,509.4075
150-89-8043,2019-02-14,Sports and travel,140.6475
135-84-8019,2019-02-27,Fashion accessories,736.4385
441-94-7118,2019-02-04,Electronic accessories,75.5475
725-96-3778,2019-01-20,Home and lifestyle,749.7
531-80-1784,2019-03-28,Electronic accessories,191.247
400-45-1220,2019-02-27,Health and beauty,141.75
860-79-0874,2019-02-15,Fashion accessories,1042.65
834-61-8124,2019-01-26,Electronic accessories,379.9215
115-99-4379,2019-03-14,Fashion accessories,402.2655
565-67-6697,2019-03-02,Home and lifestyle,255.15
320-49-6392,2019-03-04,Electronic accessories,31.752
889-04-9723,2019-01-07,Food and beverages,374.388
632-90-0281,2019-03-08,Fashion accessories,394.275
554-42-2417,2019-01-09,Sports and travel,1002.12
453-63-6187,2019-03-01,Electronic accessories,86.625
578-80-7669,2019-03-16,Sports and travel,78.7185
612-36-5536,2019-02-17,Food and beverages,680.064
605-72-4132,2019-02-27,Food and beverages,793.548
471-41-2823,2019-03-07,Food and beverages,209.559
462-67-9126,2019-01-21,Home and lifestyle,461.286
272-27-9238,2019-02-19,Food and beverages,173.208
834-25-9262,2019-01-06,Fashion accessories,343.056
122-61-9553,2019-03-14,Electronic accessories,484.974
468-88-0009,2019-03-24,Home and lifestyle,276.948
613-59-9758,2019-01-27,Sports and travel,150.78
254-31-0042,2019-03-06,Electronic accessories,203.175
201-86-2184,2019-02-02,Electronic accessories,193.011
261-12-8671,2019-01-25,Fashion accessories,128.016
730-70-9830,2019-03-14,Home and lifestyle,441.693
382-25-8917,2019-01-29,Fashion accessories,265.104
422-29-8786,2019-01-03,Home and lifestyle,352.2225
667-23-5919,2019-01-14,Fashion accessories,507.675
843-01-4703,2019-01-05,Home and lifestyle,334.341
743-88-1662,2019-02-22,Sports and travel,701.8515
595-86-2894,2019-02-06,Fashion accessories,407.316
182-69-8360,2019-01-30,Electronic accessories,99.33
289-15-7034,2019-01-11,Sports and travel,345.786
462-78-5240,2019-03-19,Electronic accessories,55.881
868-52-7573,2019-01-14,Food and beverages,523.3725
153-58-4872,2019-03-01,Food and beverages,314.538
662-72-2873,2019-01-06,Food and beverages,214.935
525-88-7307,2019-01-31,Sports and travel,79.611
689-16-9784,2019-03-11,Food and beverages,294.651
725-56-0833,2019-02-20,Health and beauty,339.36
394-41-0748,2019-01-27,Fashion accessories,510.9615
596-42-3999,2019-03-10,Food and beverages,133.917
541-89-9860,2019-02-15,Fashion accessories,253.512
173-82-9529,2019-01-26,Fashion accessories,398.475
563-36-9814,2019-02-13,Electronic accessories,80.661
308-47-4913,2019-03-09,Sports and travel,548.73
885-17-6250,2019-03-06,Health and beauty,83.727
726-27-2396,2019-01-24,Health and beauty,406.875
316-01-3952,2019-03-13,Food and beverages,284.9175
760-54-1821,2019-03-15,Home and lifestyle,128.4255
793-10-3222,2019-03-05,Health and beauty,258.678
346-12-3257,2019-03-04,Electronic accessories,181.818
110-05-6330,2019-03-25,Food and beverages,248.409
651-61-0874,2019-03-12,Home and lifestyle,194.124
236-86-3015,2019-02-04,Home and lifestyle,14.679
831-64-0259,2019-02-22,Fashion accessories,208.6875
587-03-7455,2019-02-16,Fashion accessories,718.7565
882-40-4577,2019-01-19,Sports and travel,282.492
732-67-5346,2019-01-11,Food and beverages,72.3975
725-32-9708,2019-01-04,Fashion accessories,288.582
256-08-8343,2019-03-04,Home and lifestyle,237.426
372-26-1506,2019-01-28,Fashion accessories,125.055
244-08-0162,2019-01-02,Health and beauty,359.205
569-71-4390,2019-01-25,Sports and travel,45.927
132-23-6451,2019-01-04,Health and beauty,110.0925
696-90-2548,2019-03-10,Sports and travel,81.396
472-15-9636,2019-03-22,Home and lifestyle,427.812
268-03-6164,2019-01-25,Health and beauty,100.9155
750-57-9686,2019-01-08,Home and lifestyle,190.596
186-09-3669,2019-01-22,Health and beauty,85.5855
848-07-1692,2019-01-12,Health and beauty,120.162
745-71-3520,2019-02-04,Electronic accessories,185.367
266-76-6436,2019-03-28,Food and beverages,121.59
740-22-2500,2019-01-23,Electronic accessories,264.7575
271-88-8734,2019-02-08,Fashion accessories,1020.705
301-81-8610,2019-03-19,Fashion accessories,213.528
489-64-4354,2019-03-09,Fashion accessories,17.094
198-84-7132,2019-01-02,Fashion accessories,383.7645
269-10-8440,2019-01-21,Health and beauty,390.7995
650-98-6268,2019-03-20,Food and beverages,65.7405
741-73-3559,2019-02-27,Sports and travel,353.1675
325-77-6186,2019-03-08,Home and lifestyle,951.825
286-75-7818,2019-01-31,Fashion accessories,145.068
574-57-9721,2019-03-08,Food and beverages,90.867
459-50-7686,2019-01-13,Electronic accessories,147.798
616-87-0016,2019-03-09,Fashion accessories,702.219
837-55-7229,2019-02-22,Fashion accessories,49.812
751-69-0068,2019-03-19,Sports and travel,937.818
257-73-1380,2019-01-20,Sports and travel,348.306
345-08-4992,2019-03-08,Home and lifestyle,214.137
549-96-4200,2019-03-08,Food and beverages,71.568
810-60-6344,2019-02-07,Electronic accessories,343.224
450-28-2866,2019-01-15,Food and beverages,91.56
394-30-3170,2019-03-22,Sports and travel,742.812
138-17-5109,2019-01-15,Home and lifestyle,843.0345
192-98-7397,2019-01-08,Fashion accessories,13.419
301-11-9629,2019-01-15,Sports and travel,140.385
390-80-5128,2019-01-28,Health and beauty,20.1075
235-46-8343,2019-02-14,Food and beverages,290.43
453-12-7053,2019-03-10,Fashion accessories,144.081
296-11-7041,2019-01-12,Health and beauty,28.4235
449-27-2918,2019-03-26,Sports and travel,41.076
891-01-7034,2019-01-01,Electronic accessories,470.673
744-09-5786,2019-01-02,Electronic accessories,138.663
727-17-0390,2019-03-16,Food and beverages,333.9525
568-88-3448,2019-03-03,Health and beauty,26.25
187-83-5490,2019-01-31,Electronic accessories,87.234
767-54-1907,2019-02-13,Fashion accessories,155.19
710-46-4433,2019-02-15,Food and beverages,731.43
533-33-5337,2019-02-07,Electronic accessories,833.595
325-90-8763,2019-01-27,Electronic accessories,488.985
729-46-7422,2019-02-23,Food and beverages,37.6845
639-76-1242,2019-02-03,Food and beverages,212.73
234-03-4040,2019-03-03,Food and beverages,767.025
326-71-2155,2019-02-03,Sports and travel,310.59
320-32-8842,2019-03-17,Food and beverages,23.751
470-32-9057,2019-03-28,Food and beverages,269.535
878-30-2331,2019-03-02,Sports and travel,572.775
440-59-5691,2019-02-08,Health and beauty,273.0525
554-53-3790,2019-03-22,Sports and travel,233.226
746-19-0921,2019-02-09,Food and beverages,22.659
233-34-0817,2019-02-15,Electronic accessories,103.782
767-05-1286,2019-01-23,Home and lifestyle,527.751
340-21-9136,2019-01-25,Sports and travel,168.21
405-31-3305,2019-02-02,Fashion accessories,452.865
731-59-7531,2019-03-30,Health and beauty,609.588
676-39-6028,2019-03-30,Electronic accessories,338.31
502-05-1910,2019-02-25,Health and beauty,205.317
485-30-8700,2019-03-18,Sports and travel,174.615
598-47-9715,2019-03-07,Electronic accessories,353.094
701-69-8742,2019-03-16,Sports and travel,360.885
575-67-1508,2019-01-29,Electronic accessories,40.53
541-08-3113,2019-02-02,Food and beverages,554.148
246-11-3901,2019-02-15,Electronic accessories,344.4
674-15-9296,2019-01-08,Sports and travel,194.985
305-18-3552,2019-02-12,Home and lifestyle,633.99
493-65-6248,2019-01-01,Sports and travel,388.29
438-01-4015,2019-03-21,Sports and travel,207.858
709-58-4068,2019-02-28,Fashion accessories,431.445
795-49-7276,2019-03-23,Fashion accessories,156.03
556-72-8512,2019-01-30,Home and lifestyle,24.108
627-95-3243,2019-02-04,Home and lifestyle,734.076
686-41-0932,2019-03-13,Fashion accessories,72.87
510-09-5628,2019-03-15,Fashion accessories,206.43
608-04-3797,2019-03-05,Health and beauty,212.688
148-82-2527,2019-03-05,Home and lifestyle,127.26
437-53-3084,2019-02-26,Fashion accessories,209.769
632-32-4574,2019-03-20,Sports and travel,637.728
556-97-7101,2019-01-01,Electronic accessories,132.762
862-59-8517,2019-01-27,Food and beverages,568.512
401-18-8016,2019-01-21,Sports and travel,103.0365
420-18-8989,2019-02-02,Sports and travel,432.768
277-63-2961,2019-02-03,Sports and travel,77.6685
573-98-8548,2019-01-05,Fashion accessories,33.495
620-02-2046,2019-01-27,Home and lifestyle,145.74
282-35-2475,2019-03-25,Sports and travel,195.951
511-54-3087,2019-02-25,Sports and travel,92.8725
726-29-6793,2019-01-28,Electronic accessories,203.112
387-49-4215,2019-01-08,Sports and travel,152.775
862-17-9201,2019-01-29,Food and beverages,529.515
291-21-5991,2019-03-29,Health and beauty,321.7725
602-80-9671,2019-02-09,Home and lifestyle,100.485
347-72-6115,2019-01-16,Sports and travel,666.939
209-61-0206,2019-01-05,Home and lifestyle,225.2775
595-27-4851,2019-01-27,Fashion accessories,398.958
189-52-0236,2019-03-14,Electronic accessories,731.6925
503-07-0930,2019-02-23,Sports and travel,429.1665
413-20-6708,2019-03-18,Fashion accessories,54.0435
425-85-2085,2019-03-29,Health and beauty,288.015
521-18-7827,2019-01-22,Home and lifestyle,206.7975
220-28-1851,2019-03-01,Home and lifestyle,72.933
600-38-9738,2019-01-17,Sports and travel,377.58
734-91-1155,2019-03-26,Electronic accessories,143.9865
451-28-5717,2019-03-20,Home and lifestyle,523.971
609-81-8548,2019-02-06,Home and lifestyle,235.872
133-14-7229,2019-01-01,Health and beauty,132.027
534-01-4457,2019-01-27,Food and beverages,514.773
719-89-8991,2019-02-25,Sports and travel,479.9025
286-62-6248,2019-01-16,Fashion accessories,164.682
339-38-9982,2019-01-13,Fashion accessories,125.706
827-44-5872,2019-02-07,Food and beverages,570.78
827-77-7633,2019-02-17,Sports and travel,926.9505
287-83-1405,2019-02-12,Health and beauty,160.209
435-13-4908,2019-01-24,Fashion accessories,728.112
857-67-9057,2019-02-06,Electronic accessories,240.975
236-27-1144,2019-03-26,Food and beverages,154.1295
892-05-6689,2019-03-11,Home and lifestyle,148.68
583-41-4548,2019-02-07,Home and lifestyle,122.5245
339-12-4827,2019-01-05,Fashion accessories,77.658
643-38-7867,2019-03-07,Home and lifestyle,102.837
